,Method,$\widehat{\beta}$
0,active (partial),0.9494949494949496
1,active (shifted),0.9090909090909092
2,active (full),0.9494949494949496
3,active (full+cocob),0.9393939393939394
4,oblivious (partial),0.9595959595959597
5,sample everything,0.9090909090909092
6,active (partial),0.9393939393939394
7,active (shifted),0.8989898989898991
8,active (full),0.9292929292929294
9,active (full+cocob),0.9292929292929294
10,oblivious (partial),0.9595959595959597
11,sample everything,0.9090909090909092
12,active (partial),0.9494949494949496
13,active (shifted),0.8989898989898991
14,active (full),0.9393939393939394
15,active (full+cocob),0.9393939393939394
16,oblivious (partial),0.9494949494949496
17,sample everything,0.9090909090909092
18,active (partial),0.9292929292929294
19,active (shifted),0.8686868686868687
20,active (full),0.9191919191919192
21,active (full+cocob),0.9191919191919192
22,oblivious (partial),0.9393939393939394
23,sample everything,0.888888888888889
24,active (partial),0.9292929292929294
25,active (shifted),0.9090909090909092
26,active (full),0.9292929292929294
27,active (full+cocob),0.9292929292929294
28,oblivious (partial),0.9595959595959597
29,sample everything,0.9292929292929294
30,active (partial),0.9191919191919192
31,active (shifted),0.888888888888889
32,active (full),0.9191919191919192
33,active (full+cocob),0.9191919191919192
34,oblivious (partial),0.9393939393939394
35,sample everything,0.8989898989898991
36,active (partial),0.9393939393939394
37,active (shifted),0.8989898989898991
38,active (full),0.9393939393939394
39,active (full+cocob),0.9292929292929294
40,oblivious (partial),0.9595959595959597
41,sample everything,0.9191919191919192
42,active (partial),0.9292929292929294
43,active (shifted),0.8787878787878789
44,active (full),0.9191919191919192
45,active (full+cocob),0.9191919191919192
46,oblivious (partial),0.9393939393939394
47,sample everything,0.888888888888889
48,active (partial),0.9292929292929294
49,active (shifted),0.8787878787878789
50,active (full),0.9191919191919192
51,active (full+cocob),0.9191919191919192
52,oblivious (partial),0.9494949494949496
53,sample everything,0.8787878787878789
54,active (partial),0.9292929292929294
55,active (shifted),0.888888888888889
56,active (full),0.9191919191919192
57,active (full+cocob),0.9191919191919192
58,oblivious (partial),0.9696969696969697
59,sample everything,0.8989898989898991
60,active (partial),0.9494949494949496
61,active (shifted),0.8989898989898991
62,active (full),0.9393939393939394
63,active (full+cocob),0.9393939393939394
64,oblivious (partial),0.9494949494949496
65,sample everything,0.9191919191919192
66,active (partial),0.9393939393939394
67,active (shifted),0.888888888888889
68,active (full),0.9393939393939394
69,active (full+cocob),0.9393939393939394
70,oblivious (partial),0.9494949494949496
71,sample everything,0.888888888888889
72,active (partial),0.9292929292929294
73,active (shifted),0.8484848484848485
74,active (full),0.9292929292929294
75,active (full+cocob),0.9191919191919192
76,oblivious (partial),0.9494949494949496
77,sample everything,0.8484848484848485
78,active (partial),0.9393939393939394
79,active (shifted),0.8989898989898991
80,active (full),0.9393939393939394
81,active (full+cocob),0.9292929292929294
82,oblivious (partial),0.9494949494949496
83,sample everything,0.8989898989898991
84,active (partial),0.9393939393939394
85,active (shifted),0.9090909090909092
86,active (full),0.9292929292929294
87,active (full+cocob),0.9292929292929294
88,oblivious (partial),0.9494949494949496
89,sample everything,0.9090909090909092
90,active (partial),0.9393939393939394
91,active (shifted),0.888888888888889
92,active (full),0.9393939393939394
93,active (full+cocob),0.9393939393939394
94,oblivious (partial),0.9595959595959597
95,sample everything,0.888888888888889
96,active (partial),0.9393939393939394
97,active (shifted),0.888888888888889
98,active (full),0.9393939393939394
99,active (full+cocob),0.9292929292929294
100,oblivious (partial),0.9595959595959597
101,sample everything,0.8989898989898991
102,active (partial),0.9393939393939394
103,active (shifted),0.8787878787878789
104,active (full),0.9393939393939394
105,active (full+cocob),0.9292929292929294
106,oblivious (partial),0.9393939393939394
107,sample everything,0.8989898989898991
108,active (partial),0.9595959595959597
109,active (shifted),0.9090909090909092
110,active (full),0.9494949494949496
111,active (full+cocob),0.9494949494949496
112,oblivious (partial),0.9595959595959597
113,sample everything,0.9090909090909092
114,active (partial),0.9393939393939394
115,active (shifted),0.888888888888889
116,active (full),0.9393939393939394
117,active (full+cocob),0.9393939393939394
118,oblivious (partial),0.9595959595959597
119,sample everything,0.8989898989898991
120,active (partial),0.9393939393939394
121,active (shifted),0.8989898989898991
122,active (full),0.9292929292929294
123,active (full+cocob),0.9292929292929294
124,oblivious (partial),0.9595959595959597
125,sample everything,0.9090909090909092
126,active (partial),0.9292929292929294
127,active (shifted),0.9090909090909092
128,active (full),0.9292929292929294
129,active (full+cocob),0.9292929292929294
130,oblivious (partial),0.9595959595959597
131,sample everything,0.9292929292929294
132,active (partial),0.9292929292929294
133,active (shifted),0.8989898989898991
134,active (full),0.9292929292929294
135,active (full+cocob),0.9292929292929294
136,oblivious (partial),0.9494949494949496
137,sample everything,0.8989898989898991
138,active (partial),0.9090909090909092
139,active (shifted),0.787878787878788
140,active (full),0.9090909090909092
141,active (full+cocob),0.9090909090909092
142,oblivious (partial),0.9292929292929294
143,sample everything,0.787878787878788
144,active (partial),0.9292929292929294
145,active (shifted),0.888888888888889
146,active (full),0.9191919191919192
147,active (full+cocob),0.9191919191919192
148,oblivious (partial),0.9494949494949496
149,sample everything,0.888888888888889
150,active (partial),0.9494949494949496
151,active (shifted),0.8282828282828284
152,active (full),0.9393939393939394
153,active (full+cocob),0.9393939393939394
154,oblivious (partial),0.9494949494949496
155,sample everything,0.8282828282828284
156,active (partial),0.9292929292929294
157,active (shifted),0.888888888888889
158,active (full),0.9292929292929294
159,active (full+cocob),0.9292929292929294
160,oblivious (partial),0.9393939393939394
161,sample everything,0.888888888888889
162,active (partial),0.9191919191919192
163,active (shifted),0.9090909090909092
164,active (full),0.9191919191919192
165,active (full+cocob),0.9090909090909092
166,oblivious (partial),0.9494949494949496
